State	Code	Volumes	SD	Avg
IL	00101	30.00	1122.51	24342.00
IL	00101	10.00	1254.34	9397.00
IL	00101	5.00	1638.85	22661.00
IL	00101	12.00	1680.87	13346.00
IL	00101	9.00	1789.25	30255.00
IL	00101	28.00	1828.19	18395.00
IL	00101	27.00	1855.28	24521.00
IL	00101	32.00	2081.61	23343.00
IL	00101	19.00	2307.98	24677.00
IL	00101	119.00	2371.44	17393.00
IL	00101	30.00	3350.66	24993.00
IL	00101	74.00	3388.89	23201.00
IL	00101	13.00	3450.55	28693.00
IL	00101	11.00	3739.15	27097.00
IL	00101	5.00	3777.79	28503.00
IL	00101	51.00	4118.19	25346.00
IL	00101	10.00	4261.49	40970.00
IL	00101	38.00	4558.33	24470.00
IL	00101	13.00	4596.68	29388.00
IL	00101	45.00	4720.03	24902.00
IL	00101	6.00	5239.26	36358.00
IL	00101	35.00	5346.46	27948.00
IL	00101	40.00	5392.25	36555.00
IL	00101	29.00	5557.46	29069.00
IL	00101	11.00	6110.32	35154.00
IL	00101	9.00	8313.18	48184.00
PA	00101	29.00	429.88	18235.00
PA	00101	54.00	509.30	20818.00
PA	00101	45.00	510.65	20400.00
PA	00101	4.00	558.73	16389.00
PA	00101	5.00	559.94	19147.00
PA	00101	3.00	813.49	19249.00
PA	00101	19.00	819.31	29009.00
PA	00101	12.00	1065.55	31469.00
PA	00101	51.00	1546.07	29688.00
PA	00101	74.00	1952.31	25710.00
PA	00101	39.00	3439.28	35914.00
PA	00101	31.00	7755.45	40914.00
TX	00101	6.00	154.07	17960.00
TX	00101	3.00	175.50	18265.00
TX	00101	12.00	204.14	13062.00
TX	00101	5.00	275.92	26286.00
TX	00101	16.00	390.53	14433.00
TX	00101	11.00	427.02	15068.00
TX	00101	9.00	439.39	24777.00
TX	00101	17.00	481.39	15275.00
TX	00101	3.00	545.85	12240.00
TX	00101	14.00	552.24	23840.00
TX	00101	3.00	596.82	18014.00
TX	00101	11.00	627.75	20216.00
TX	00101	10.00	640.76	21974.00
TX	00101	9.00	662.85	23440.00
TX	00101	19.00	671.48	27580.00
TX	00101	5.00	677.39	14633.00
TX	00101	4.00	698.97	22381.00
TX	00101	7.00	769.89	25136.00
TX	00101	112.00	770.38	23986.00
TX	00101	3.00	787.92	29778.00
TX	00101	5.00	832.34	20030.00
TX	00101	5.00	840.32	14308.00
TX	00101	20.00	843.28	24718.00
TX	00101	40.00	876.30	23451.00
TX	00101	26.00	898.31	22506.00
TX	00101	50.00	1025.71	25794.00
TX	00101	22.00	1045.39	26223.00
TX	00101	15.00	1052.09	25223.00
TX	00101	5.00	1053.95	30836.00
TX	00101	81.00	1054.50	19766.00
TX	00101	25.00	1092.78	26551.00
TX	00101	10.00	1164.45	17477.00
TX	00101	35.00	1166.64	18636.00
TX	00101	5.00	1180.45	17481.00
TX	00101	14.00	1186.35	29068.00
TX	00101	5.00	1232.56	17812.00
TX	00101	12.00	1252.53	30534.00
TX	00101	28.00	1258.85	19434.00
TX	00101	17.00	1286.93	11657.00
TX	00101	88.00	1327.48	26375.00
TX	00101	4.00	1339.53	15954.00
TX	00101	106.00	1339.86	26137.00
TX	00101	24.00	1398.11	31483.00
TX	00101	14.00	1418.84	22021.00
TX	00101	17.00	1439.62	27373.00
TX	00101	46.00	1517.44	22559.00
TX	00101	16.00	1573.50	27536.00
TX	00101	15.00	1769.48	26636.00
TX	00101	10.00	1812.09	23721.00
TX	00101	32.00	1857.09	15118.00
TX	00101	3.00	2040.65	29944.00
TX	00101	44.00	2064.06	28456.00
TX	00101	13.00	2073.44	25402.00
TX	00101	29.00	2106.21	26633.00
TX	00101	5.00	2253.47	25345.00
TX	00101	22.00	2340.76	23273.00
TX	00101	6.00	2395.53	12527.00
TX	00101	4.00	2725.12	22572.00
TX	00101	23.00	2850.37	30177.00
TX	00101	17.00	2937.14	22137.00
TX	00101	20.00	3054.95	35843.00
TX	00101	18.00	3429.67	17491.00
TX	00101	3.00	3932.24	21982.00
TX	00101	30.00	3949.69	29122.00
TX	00101	12.00	4017.65	16254.00
TX	00101	18.00	4103.75	31678.00
TX	00101	6.00	4155.07	37909.00
TX	00101	21.00	4286.66	34696.00
TX	00101	5.00	5069.39	26926.00
TX	00101	3.00	5216.01	40089.00
TX	00101	25.00	5459.27	33083.00
TX	00101	3.00	5529.79	30528.00
TX	00101	52.00	5611.53	26589.00
TX	00101	57.00	5862.51	22150.00
TX	00101	8.00	5976.41	20127.00
TX	00102	4.00	118.97	12765.00
IL	00201	4.00	20434.47	57230.00
IL	00201	5.00	10166.31	40959.00
IL	00201	3.00	2623.29	26895.00
IL	00201	3.00	5136.20	46622.00
TX	00201	15.00	4098.99	34416.00
TX	00201	15.00	4098.99	34416.00
TX	00201	15.00	4098.99	34416.00
TX	00201	3.00	943.34	25484.00
TX	00201	5.00	1976.40	29805.00
TX	00201	5.00	1976.40	29805.00
TX	00201	3.00	447.97	32231.00
TX	00201	3.00	447.97	32231.00
